capture,tx,ty,tz,r00,r01,r02,r10,r11,r12,r20,r21,r22
1,0.723409,-0.052805,0.317448,-0.059274,-0.210481,0.975799,-0.100292,0.973828,0.203964,-0.993191,-0.085775,-0.078832
2,0.688381,-0.274933,0.282620,-0.539049,-0.417863,0.731312,-0.602291,0.798184,0.012125,-0.588788,-0.433927,-0.681935
3,0.829781,-0.354332,0.162568,-0.469032,-0.469975,0.747751,-0.721943,0.691716,-0.018088,-0.508730,-0.548318,-0.663733
4,0.890001,-0.200045,0.174782,-0.587075,-0.055033,0.807660,-0.114032,0.993361,-0.015202,-0.801461,-0.101024,-0.589453
5,0.835846,0.112448,0.233070,-0.245546,-0.066838,0.967078,0.332946,0.931117,0.148889,-0.910415,0.358543,-0.206379
6,0.698705,0.104211,0.356241,-0.107739,-0.061661,0.992265,0.396832,0.912451,0.099789,-0.911546,0.404514,-0.073838
7,0.802640,0.139439,0.387467,0.017853,-0.268158,0.963210,0.157167,0.952139,0.262162,-0.987411,0.146705,0.059144
8,0.660870,0.205092,0.284886,-0.322239,-0.047542,0.945464,0.477307,0.854337,0.205638,-0.817521,0.517541,-0.252609
9,0.856195,-0.342172,0.163791,-0.368000,-0.167840,0.914552,-0.415547,0.909571,-0.000283,-0.831803,-0.380144,-0.404467
10,0.949685,-0.276195,0.422729,-0.021459,0.014858,0.999659,-0.343734,0.938825,-0.021332,-0.938822,-0.344075,-0.015039
11,0.722132,-0.108085,0.389264,-0.693093,-0.015530,0.720680,0.167951,0.968774,0.182399,-0.701009,0.247459,-0.668843
12,0.754934,0.059698,0.330198,-0.679025,-0.016322,0.733934,0.422880,0.808522,0.409223,-0.600081,0.588239,-0.542105
13,0.724673,0.160772,0.257318,-0.627769,-0.067480,0.775469,0.355165,0.861657,0.362498,-0.692650,0.502985,-0.516955
14,0.931502,-0.252340,0.469994,-0.133105,-0.150275,0.979643,-0.656534,0.753834,0.026432,-0.742460,-0.639650,-0.198999
15,0.900336,0.172261,0.389494,-0.207143,-0.206123,0.956350,0.481230,0.829640,0.283047,-0.851768,0.518855,-0.072662
16,0.990343,-0.061937,0.393076,-0.076624,-0.139018,0.987321,-0.114908,0.984865,0.129755,-0.990417,-0.103509,-0.091438
