goal_x,goal_y,goal_z,final_x,final_y,final_z,err_x,err_y,err_z,norm_err,goal_r,goal_p,goal_y,final_r,final_p,final_y,err_r,err_p,err_y,rot_norm_err
0.830875,-0.0623474,0.585301,0.631197,-0.39126,0.66027,0.199678,0.328912,-0.0749691,0.392014,-0.154934,0.0833571,0.122042,-0.162668,-0.157188,-0.342636,0.0329385,0.229589,0.441931,0.499098
0.830875,-0.0623474,0.585301,0.412686,-0.142936,0.82283,0.418188,0.0805887,-0.237529,0.487644,-0.206056,-1.06908,-1.31148,-0.187366,-0.829358,0.0248525,-0.117856,-0.14315,-0.962096,0.979802
0.830875,-0.0623474,0.585301,0.674655,-0.107106,0.728636,0.15622,0.0447582,-0.143335,0.216686,0.0129459,-0.456005,-0.931712,0.0850142,-0.0428822,0.315993,-0.150443,-0.291409,-0.912641,0.969776
0.819852,-0.0858367,0.701549,-0.0429033,-0.190638,1.39572,0.862755,0.104801,-0.694173,1.1123,0.00211065,0.0365388,-0.00982379,0.00369656,0.0189137,-0.010805,-0.00140337,0.0176396,0.00102515,0.017725
0.379148,0.354163,0.688598,0.391593,0.290722,0.738976,-0.0124447,0.0634412,-0.0503778,0.0819609,0.0279416,-1.335,-2.22114,-0.234366,-0.665043,-2.78733,-0.435425,0.381861,0.637689,0.861429
0.379148,0.354163,0.688598,0.199338,0.323912,0.837386,0.179811,0.0302511,-0.148788,0.23534,0.0279416,-1.335,-2.22114,-0.267313,-0.442745,-2.44259,-0.652131,0.397281,0.370844,0.848901
0.379148,0.354163,0.688598,0.343624,0.367827,0.709268,0.0355243,-0.0136636,-0.0206706,0.0433122,0.0279416,-1.335,-2.22114,-0.23714,-0.71032,-2.60106,-0.460699,0.327474,0.52286,0.769978
-0.904421,0.0528164,0.578272,-0.908789,0.0516661,0.599675,0.00436787,0.00115033,-0.0214033,0.0218747,2.93168,-1.25273,2.90794,1.43666,-1.53084,-1.8448,-0.104282,-0.294154,-0.0407549,0.314741
-0.904421,0.0528164,0.578272,-0.91027,0.0544505,0.584898,0.00584829,-0.00163411,-0.00662616,0.00898771,2.93168,-1.25273,2.90794,1.60624,-1.52963,-2.01697,-0.103342,-0.287522,-0.0382912,0.30792
-0.609,-0.0854,0.4356,-0.645659,0.0619001,0.555104,0.0366587,-0.1473,-0.119504,0.19319,-1.19281,-1.46635,1.18782,-0.633193,-1.26943,0.161161,0.0300127,-0.209712,0.45221,0.499374
-0.609,-0.0854,0.5156,-0.561702,-0.266536,0.407709,-0.0472982,0.181136,0.107891,0.216074,-0.633186,-1.26943,0.161157,-1.67234,-1.48352,1.7612,-0.0402,0.250446,-0.531916,0.589299
-0.609,-0.0854,0.4356,-0.638906,0.0872267,0.675369,0.0299059,-0.172627,-0.239769,0.296957,-1.67228,-1.48352,1.76114,-0.48877,-1.06098,-0.0243774,0.0496231,-0.439349,0.550082,0.705748
-0.609,-0.0854,0.5156,-0.575734,-0.279354,0.325361,-0.0332662,0.193954,0.190239,0.273708,-0.488771,-1.06098,-0.0243756,-2.60657,-1.42416,2.70096,-0.0386791,0.53308,-0.54576,0.763887
-0.609,-0.0854,0.4356,-0.602949,0.00451364,0.811844,-0.00605114,-0.0899136,-0.376244,0.386886,-2.60656,-1.42416,2.70095,-0.309042,-0.81982,-0.0553505,0.0370468,-0.729298,0.399299,0.832279
-0.609,-0.0854,0.5156,-0.63898,-0.183632,0.254614,0.0299801,0.0982324,0.260986,0.280467,-0.309037,-0.819821,-0.0553521,-2.84807,-1.36394,2.78798,0.0198657,0.787387,-0.276034,0.834606
-0.609,-0.0854,0.4356,-0.599257,-0.0284776,0.750412,-0.00974342,-0.0569224,-0.314812,0.320065,-2.84807,-1.36394,2.78798,-0.211441,-0.915317,-0.0791628,-0.0590158,-0.736759,0.218808,0.770827
-0.609,-0.0854,0.5156,-0.640475,-0.145506,0.291804,0.0314747,0.0601059,0.223796,0.233854,-0.211445,-0.915314,-0.0791603,-2.76422,-1.43122,2.67698,0.0518494,0.69304,-0.195689,0.722002
-0.609,-0.0854,0.4356,-0.607528,-0.0373914,0.650376,-0.00147178,-0.0480086,-0.214776,0.220082,-2.76423,-1.43122,2.677,-0.168235,-1.07854,-0.0922422,-0.0697929,-0.570448,0.173089,0.600201
-0.609,-0.0854,0.5156,-0.620208,-0.14168,0.363587,0.0112081,0.05628,0.152013,0.162484,-0.168234,-1.07854,-0.0922414,-1.8741,-1.53082,1.80889,0.0344693,0.47485,-0.191365,0.513119
-0.609,-0.0854,0.4356,-0.621104,-0.0320257,0.570654,0.0121037,-0.0533743,-0.135054,0.145722,-1.87424,-1.53082,1.80903,-0.152134,-1.20931,-0.101939,-0.0407124,-0.35714,0.188263,0.40577
-0.609,-0.0854,0.5156,-0.60158,-0.145912,0.426395,-0.00742013,0.0605118,0.0892054,0.108048,-0.152136,-1.2093,-0.101935,-0.266794,-1.47002,0.219817,0.0107642,0.257008,-0.204128,0.328386
-0.609,-0.0854,0.4356,-0.631218,-0.0271883,0.488538,0.0222183,-0.0582117,-0.0529379,0.0817599,-0.266784,-1.47002,0.219811,-0.169027,-1.35036,-0.0779985,-0.00707624,-0.119427,0.199058,0.232244
-0.609,-0.0854,0.5156,-0.588336,-0.144636,0.4974,-0.0206641,0.0592361,0.0181997,0.0653234,-0.169023,-1.35036,-0.0780019,-0.0937438,-1.34404,0.0446258,-0.0167101,-0.00600607,-0.194767,0.195574
-0.609,-0.0854,0.4356,-0.635366,-0.0291998,0.39996,0.026366,-0.0562002,0.0356402,0.071581,-0.0937458,-1.34404,0.044628,-0.512001,-1.49988,0.272815,0.0364443,0.158866,0.184462,0.246157
-0.609,-0.0854,0.5156,-0.570325,-0.138935,0.581059,-0.0386754,0.053535,-0.0654593,0.0929876,-0.512022,-1.49988,0.272836,-0.0689618,-1.19161,0.00192373,-0.0552258,-0.305217,-0.161468,0.349685
-0.609,-0.0854,0.4356,-0.645327,-0.0414309,0.303825,0.0363266,-0.0439691,0.131775,0.143589,-0.0689598,-1.19161,0.00192231,-2.75267,-1.47086,2.53458,0.0750759,0.446172,0.134289,0.471953
-0.609,-0.0854,0.5156,-0.552063,-0.129212,0.673736,-0.0569372,0.0438123,-0.158136,0.17369,-2.75269,-1.47086,2.5346,-0.0354335,-1.01204,-0.0492794,-0.10699,-0.595316,-0.108726,0.614548
-0.609,-0.0854,0.4356,-0.659615,-0.0536079,0.223928,0.0506152,-0.0317921,0.211672,0.219949,-0.0354334,-1.01204,-0.0492799,-2.932,-1.37787,2.73621,0.112424,0.669429,0.0841468,0.683999
-0.609,-0.0854,0.5156,-0.537893,-0.115534,0.743804,-0.071107,0.0301341,-0.228204,0.240918,-2.93199,-1.37787,2.73621,-0.0212891,-0.866628,-0.0899146,-0.13947,-0.765833,-0.0550609,0.780375
-0.509,0.0646,0.5356,-0.584604,0.26444,0.387644,0.0756041,-0.19984,0.147956,0.25989,-0.0212927,-0.866628,-0.0899139,-0.568285,-1.50558,-0.138521,0.245394,0.524455,0.494727,0.761594
-0.609,-0.0854,0.5156,-0.448459,-0.447321,0.49116,-0.160541,0.361921,0.0244398,0.396683,-0.568265,-1.50558,-0.138541,-0.11637,-1.30558,0.618366,-0.0207662,-0.16924,-0.923737,0.939342
-0.509,0.0646,0.5356,-0.48924,0.282211,0.877128,-0.0197602,-0.217611,-0.341528,0.405446,-0.116375,-1.30558,0.618371,-0.0523172,-0.52222,-0.791472,-0.075554,-0.544974,0.834224,0.999317
-0.609,-0.0854,0.5156,-0.665519,-0.287767,0.24225,0.0565195,0.202367,0.27335,0.344771,-0.0523165,-0.522218,-0.791474,-1.15396,-1.52737,1.31491,0.237055,0.707813,-0.648385,0.988735
-0.509,0.0646,0.5356,-0.37783,0.0126782,0.995992,-0.13117,0.0519218,-0.460392,0.48152,-1.15402,-1.52737,1.31496,0.0095572,-0.2249,-0.524787,-0.191619,-0.890337,0.402933,0.995877
-0.609,-0.0854,0.5156,-0.81141,-0.0853783,0.286936,0.20241,-2.16844e-05,0.228664,0.30538,0.0095533,-0.224901,-0.524785,-0.14707,-1.32701,0.0374258,0.299456,0.819733,-0.304204,0.924216
-0.509,0.0646,0.5356,-0.438425,0.147228,0.815523,-0.0705745,-0.0826284,-0.279923,0.300275,-0.147075,-1.32701,0.0374337,-0.0105858,-0.631883,-0.702132,-0.262802,-0.552827,0.512386,0.798262
-0.609,-0.0854,0.5156,-0.645998,-0.269676,0.26153,0.0369983,0.184276,0.25407,0.316035,-0.0105821,-0.631885,-0.702133,-1.3807,-1.5295,1.51719,0.227346,0.691288,-0.610083,0.949614
-0.509,0.0646,0.5356,-0.364695,-0.00722813,1.00242,-0.144305,0.0718281,-0.46682,0.493866,-1.38074,-1.5295,1.51723,0.00479862,-0.195512,-0.486776,-0.186505,-0.908998,0.364399,0.996919
-0.609,-0.0854,0.5156,-0.821187,-0.0751179,0.298948,0.212187,-0.0102821,0.216652,0.303426,0.00480273,-0.195511,-0.486778,-0.132556,-1.28473,0.00834103,0.287982,0.822095,-0.275454,0.913591
-0.509,0.0646,0.5356,-0.450709,0.171975,0.774655,-0.0582906,-0.107375,-0.239055,0.268467,-0.132573,-1.28473,0.00835533,-0.0232313,-0.713788,-0.714914,-0.228128,-0.462756,0.540117,0.746935
-0.609,-0.0854,0.5156,-0.61756,-0.304697,0.279526,0.00855989,0.219297,0.236074,0.322329,-0.02323,-0.713788,-0.714914,-1.05831,-1.52299,1.24893,0.192604,0.629894,-0.678927,0.945941
-0.509,0.0646,0.5356,-0.378801,0.0268619,0.999027,-0.130199,0.0377381,-0.463427,0.482847,-1.05839,-1.52299,1.24901,0.00255811,-0.207344,-0.551548,-0.186057,-0.882309,0.42897,0.99855
-0.609,-0.0854,0.5156,-0.815197,-0.0841693,0.293595,0.206197,-0.00123073,0.222005,0.302994,0.00255891,-0.207344,-0.551548,-0.145617,-1.29832,0.0290324,0.308977,0.807906,-0.325103,0.924052
-0.509,0.0646,0.5356,-0.444273,0.164203,0.79307,-0.0647273,-0.0996034,-0.25747,0.283551,-0.14561,-1.29832,0.0290252,-0.023028,-0.672127,-0.712144,-0.243748,-0.50301,0.535531,0.774097
-0.609,-0.0854,0.5156,-0.631841,-0.290469,0.272915,0.0228412,0.205069,0.242685,0.318546,-0.0230277,-0.67213,-0.712142,-1.01597,-1.52117,1.18004,0.207311,0.654274,-0.653201,0.947483
-0.509,0.0646,0.5356,-0.374905,0.0216878,0.996713,-0.134095,0.0429122,-0.461113,0.482129,-1.01604,-1.52117,1.1801,-0.00467365,-0.212213,-0.537936,-0.189799,-0.885815,0.416872,0.997233
-0.609,-0.0854,0.5156,-0.813823,-0.0865181,0.292859,0.204823,0.00111806,0.222741,0.302601,-0.00467264,-0.212212,-0.537935,-0.153881,-1.30133,0.0371523,0.300531,0.81093,-0.321048,0.922496
-0.509,0.0646,0.5356,-0.441964,0.163131,0.796982,-0.0670363,-0.0985308,-0.261382,0.287268,-0.15387,-1.30133,0.0371408,-0.0280535,-0.663792,-0.710134,-0.245557,-0.511513,0.535888,0.780461
-0.609,-0.0854,0.5156,-0.634549,-0.289366,0.272957,0.025549,0.203966,0.242643,0.31801,-0.0280526,-0.663788,-0.710136,-0.96419,-1.51872,1.12367,0.207418,0.657214,-0.651209,0.948169
-0.509,-0.2354,0.3356,-0.531931,-0.206278,0.286786,0.022931,-0.0291219,0.0488141,0.0612922,-0.964261,-1.51872,1.12374,-2.80855,-1.4386,2.84945,-0.0148925,0.152973,0.114321,0.191551
-0.483634,-0.229359,0.513275,-0.311947,-0.423799,0.44606,-0.171688,0.194441,0.0672155,0.267958,-0.938208,-1.42314,0.758329,-0.526991,-1.50918,1.11211,-0.0862889,0.0145255,-0.689683,0.695211
-0.483634,-0.229359,0.593275,-0.272346,-0.235221,1.05958,-0.211288,0.00586208,-0.466308,0.511977,-0.526978,-1.50918,1.11209,-0.197333,-0.330468,0.437883,0.510842,-0.753784,0.241936,0.94217
-0.483634,-0.229359,0.513275,-0.644065,-0.234989,0.133408,0.16043,0.00563016,0.379867,0.412394,-0.197337,-0.330466,0.437882,-3.00097,-1.21174,2.95845,-0.225525,0.969789,0.0911841,0.999833
-0.483634,-0.229359,0.593275,-0.243091,-0.435343,0.734563,-0.240543,0.205984,-0.141288,0.346775,-3.00097,-1.21174,2.95845,-0.32253,-0.96885,0.979903,0.338798,-0.683641,-0.480262,0.901555
-0.483634,-0.229359,0.513275,-0.683929,0.0421382,0.46255,0.200295,-0.271497,0.0507257,0.341177,-0.322533,-0.968853,0.979904,-1.08669,-1.36553,0.621094,-0.0487889,0.387619,0.833445,0.920467
-0.483634,-0.229359,0.593275,-0.224688,-0.563853,0.542714,-0.258946,0.334494,0.0505612,0.426023,-1.08672,-1.36553,0.621122,-0.420383,-1.31193,1.26379,-0.0377582,-0.12054,-0.955496,0.96381
