goal_x,goal_y,goal_z,final_x,final_y,final_z,err_x,err_y,err_z,norm_err,goal_r,goal_p,goal_y,final_r,final_p,final_y,err_r,err_p,err_y,rot_norm_err
-0.475068,-0.64094,1.0047,-0.515258,-0.631844,0.893763,0.0401897,-0.00909569,0.110935,0.118341,0.00745174,0.676041,-2.10267,-0.359386,1.08834,-2.65336,-0.429945,0.125831,0.243296,0.509784
-0.475068,-0.64094,1.0047,-0.547993,-0.576972,0.931566,0.0729248,-0.0639681,0.0731315,0.121483,-0.161998,0.45353,-2.30988,-0.285669,0.73061,-2.63631,-0.246564,0.149863,0.24838,0.380717
-0.511857,-0.562273,0.959731,-0.803752,-0.342476,0.845458,0.291894,-0.219797,0.114272,0.382846,-0.0397897,0.516997,-2.78391,-0.607234,0.991907,2.83771,-0.396748,0.416183,0.229994,0.619285
-0.511857,-0.562273,0.959731,-0.561798,-0.576841,0.852348,0.0499409,0.014568,0.107383,0.119321,0.0988707,0.557964,-2.03094,-0.219698,1.07294,-2.5557,-0.496046,0.16128,0.259214,0.582465
-0.511857,-0.562273,0.959731,-0.499196,-0.536907,0.966785,-0.0126615,-0.0253656,-0.00705392,0.0292144,-0.219699,1.07294,-2.55575,-0.122166,0.966235,-2.41764,0.105156,-0.0532759,-0.0546669,0.129941
-0.511857,-0.562273,0.959731,-0.513105,-0.567786,0.947219,0.00124795,0.00551276,0.012512,0.0137295,-0.122169,0.966238,-2.41764,-0.174069,1.02541,-2.4612,-0.0597126,0.0269109,-1.70061e-05,0.0654965
-0.511857,-0.562273,0.959731,-0.508236,-0.556848,0.954912,-0.00362084,-0.00542511,0.00481867,0.00810938,-0.174083,1.02542,-2.46121,-0.155043,1.00473,-2.44541,0.0208991,-0.00959903,0.000377791,0.0230012
-0.398534,-0.467407,1.07258,-0.391798,-0.44676,1.08406,-0.00673591,-0.020647,-0.0114879,0.0245691,0.0635089,0.353463,-1.74763,0.0221241,0.248834,-1.86065,0.0923247,-0.0624486,0.100239,0.149905
0.203027,-0.281407,0.890113,0.0428932,-0.378647,0.894412,0.160134,0.0972399,-0.00429952,0.187395,-0.371389,-0.278396,-3.12785,-0.134645,-0.170077,2.75911,0.240504,0.0620306,0.331129,0.413928
0.203027,-0.281407,0.890113,0.0821886,-0.265583,0.882939,0.120838,-0.0158234,0.00717324,0.122081,0.0197768,0.135657,2.89898,-0.0140788,0.0581781,2.92594,-0.0503547,-0.067703,-0.0301859,0.089613
0.203027,-0.281407,0.890113,0.181486,-0.277922,0.888557,0.0215411,-0.00348458,0.0015558,0.0218766,-0.0196815,0.00178793,2.97871,-0.0537082,-0.114675,3.09987,-0.0455137,-0.111896,-0.118524,0.169234
0.203027,-0.281407,0.890113,0.190229,-0.279572,0.88967,0.0127983,-0.00183494,0.000443084,0.0129368,-0.0196815,0.00178793,2.97871,-0.062727,-0.118907,3.12412,-0.0534076,-0.115699,-0.141821,0.190662
0.203027,-0.281407,0.890113,0.240267,-0.234594,0.89907,-0.0372401,-0.0468131,-0.00895698,0.0604857,-0.310217,0.170734,-3.1118,-0.127329,0.229624,-2.62868,0.152149,0.101419,-0.428111,0.465525
0.203027,-0.281407,0.890113,0.0217343,0.0128975,0.777486,0.181293,-0.294304,0.112627,0.363548,-0.0943382,0.0197882,-2.01303,0.474095,-0.344021,-2.99327,0.55644,0.0435217,0.69099,0.888249
0.203027,-0.281407,0.890113,0.308342,-0.202003,0.891113,-0.105316,-0.0794034,-0.00100066,0.131899,0.469289,-0.342539,-2.99094,-0.184306,-0.194709,-1.89721,-0.480222,-0.247131,-0.712111,0.89375
0.203027,-0.281407,0.890113,0.220818,-0.270509,0.889909,-0.0177909,-0.0108982,0.000203414,0.0208645,-0.184303,-0.194708,-1.89721,-0.151838,-0.178426,-2.19397,0.000102402,0.0354305,0.286564,0.288746
0.643073,-0.711237,0.612278,0.697576,-0.711091,0.641167,-0.0545029,-0.000146036,-0.028888,0.0616856,-0.267718,-0.479548,2.1769,-0.43958,-0.704697,2.59719,-0.251495,-0.0641035,-0.312381,0.406129
0.643073,-0.711237,0.612278,0.642441,-0.713663,0.631755,0.00063177,0.0024266,-0.019476,0.0196368,0.178368,-0.467807,1.858,0.0936344,-0.517472,2.02875,-0.0731504,0.0512928,-0.13001,0.157748
0.643073,-0.711237,0.612278,0.510652,-0.661957,0.705183,0.132421,-0.0492793,-0.0929043,0.1691,-0.58023,-0.781419,2.99852,-0.415158,-0.572149,2.63166,0.185492,0.153447,0.255871,0.351316
0.643073,-0.711237,0.612278,0.570372,-0.800761,0.619875,0.072701,0.0895243,-0.00759635,0.115576,-0.375513,-0.159366,2.92568,-0.630357,-0.671259,2.67734,-0.365807,-0.374444,0.321066,0.61409
0.643073,-0.711237,0.612278,0.645513,-0.771545,0.629544,-0.0024395,0.0603087,-0.0172657,0.0627789,-0.339363,-0.211865,2.70248,-0.389475,-0.76113,2.47806,-0.307227,-0.418873,0.227992,0.567295
0.643073,-0.711237,0.612278,0.369309,-0.516145,0.747922,0.273764,-0.195091,-0.135644,0.3625,-0.415986,-0.630898,2.96259,-0.22884,-0.370044,2.48633,0.247144,0.165218,0.367179,0.472438
0.643073,-0.711237,0.612278,0.444289,-0.602363,0.742733,0.198784,-0.108874,-0.130455,0.261509,-0.497938,-0.68324,2.91162,-0.352326,-0.520024,2.62672,0.169142,0.106716,0.198686,0.281911
