timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,ctrl_mode
576745427550789,-9.336904,-0.010289,7.291691,3.053076,-1.569200,0.000002,-9.350650,-0.004812,7.275629,3.067793,-1.610887,-0.022673,-0.000000,0.003169,0.000000,-0.000000,-0.000000,0.000000,-10.619907,-12.363005,-19.478334,-6.738213,1.334930,0.003237,0.420035,-0.162704,0.762016,4
576745428551246,-9.336905,-0.010288,7.291691,3.053076,-1.569200,0.000000,-9.350648,-0.004810,7.275631,3.067792,-1.610883,-0.022670,-0.000000,-0.000000,0.000000,-0.000000,0.002848,0.000000,-10.595582,-11.531490,-19.239733,-6.667964,1.341827,0.003220,0.420035,-0.162705,0.762016,4
576745429545594,-9.336904,-0.010285,7.291690,3.053075,-1.569202,0.000002,-9.350645,-0.004808,7.275633,3.067791,-1.610880,-0.022668,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-10.592756,-11.528590,-19.241546,-6.667577,1.344597,0.003218,0.420036,-0.162705,0.762016,4
576745430555677,-9.336905,-0.010280,7.291691,3.053076,-1.569203,0.000002,-9.350643,-0.004806,7.275634,3.067789,-1.610876,-0.022666,-0.002377,-0.000000,0.000000,-0.000000,-0.000000,0.002848,-10.399325,-11.515212,-19.232268,-6.636153,1.351423,0.003105,0.420039,-0.162704,0.762012,4
576745431551705,-9.336905,-0.010277,7.291691,3.053077,-1.569202,0.000001,-9.350640,-0.004804,7.275636,3.067788,-1.610872,-0.022663,-0.000000,0.003169,0.000000,-0.000000,-0.000000,0.000000,-10.612095,-12.369750,-19.479114,-6.737424,1.335082,0.003234,0.420040,-0.162704,0.762011,4
576745432514271,-9.336906,-0.010272,7.291690,3.053076,-1.569203,0.000003,-9.350638,-0.004802,7.275637,3.067787,-1.610869,-0.022661,-0.000000,0.003962,0.000000,-0.000000,-0.000000,0.000000,-10.615400,-12.583350,-19.539018,-6.754798,1.332682,0.003237,0.420042,-0.162704,0.762010,4
576745433515610,-9.336905,-0.010270,7.291692,3.053076,-1.569201,0.000003,-9.350635,-0.004800,7.275639,3.067785,-1.610865,-0.022658,-0.000000,0.004754,0.002377,-0.000000,-0.000000,0.000000,-10.626256,-12.909416,-19.676295,-6.792271,1.336214,0.003243,0.420044,-0.162704,0.762008,4
576745434510612,-9.336904,-0.010266,7.291691,3.053076,-1.569201,0.000003,-9.350633,-0.004797,7.275640,3.067784,-1.610862,-0.022656,-0.000000,0.003169,0.000000,-0.000000,-0.000000,0.000000,-10.607498,-12.379698,-19.481297,-6.737408,1.335116,0.003232,0.420045,-0.162703,0.762007,4
576745435585083,-9.336904,-0.010262,7.291691,3.053077,-1.569198,0.000002,-9.336919,-0.010147,7.291573,3.053086,-1.569199,-0.000011,-0.000000,0.003962,0.000000,0.002848,0.002848,0.000000,-0.683486,5.533173,-14.145718,-4.007670,2.155852,-0.000935,0.420048,-0.162703,0.762006,4
576745436545153,-9.336904,-0.010260,7.291691,3.053076,-1.569199,0.000001,-9.336934,-0.010031,7.291455,3.053094,-1.569200,-0.000024,-0.000000,0.002377,0.000000,-0.000000,-0.000000,0.000000,-0.667208,6.207999,-13.974442,-3.949301,2.169265,-0.000944,0.420049,-0.162703,0.762005,4
576745437505680,-9.336904,-0.010257,7.291691,3.053076,-1.569202,0.000003,-9.336949,-0.009915,7.291337,3.053102,-1.569201,-0.000036,-0.000000,0.003962,0.000000,-0.000000,-0.002848,0.000000,-0.683207,6.030321,-14.050649,-3.971087,2.173190,-0.000937,0.420049,-0.162703,0.762003,4
576745438542465,-9.336905,-0.010253,7.291691,3.053076,-1.569203,0.000002,-9.336963,-0.009800,7.291219,3.053110,-1.569202,-0.000049,-0.000000,0.003169,0.000000,-0.000000,-0.000000,0.000000,-0.684784,6.468769,-13.945749,-3.940747,2.178652,-0.000940,0.420051,-0.162703,0.762002,4
