timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,tcp_roll,tcp_pitch,tcp_yaw,goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,ctrl_mode
3477954314420,0.268546,-0.315601,1.851726,-3.198377,-37.729021,-6.237472,0.268545,-0.315601,1.851726,-3.198375,-37.729023,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,0.002848,0.000000,-0.099466,-7.945555,-23.451496,-6.056984,2.879248,-0.001711,-0.537235,0.038548,0.751220,-1.159815,1.558756,2.248599,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477955312284,0.268547,-0.315601,1.851726,-3.198378,-37.729022,-6.237470,0.268545,-0.315601,1.851725,-3.198374,-37.729024,-6.237471,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.113521,-7.948945,-23.465184,-6.059042,2.882546,-0.001707,-0.537235,0.038547,0.751220,-1.159856,1.558758,2.248560,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477956312349,0.268549,-0.315601,1.851727,-3.198376,-37.729022,-6.237472,0.268544,-0.315601,1.851724,-3.198374,-37.729025,-6.237472,0.003169,-0.000000,0.000000,0.003797,-0.000000,0.000000,-0.383555,-7.972259,-23.493438,-6.068612,2.884182,-0.001830,-0.537235,0.038547,0.751219,-1.159825,1.558758,2.248593,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477957284055,0.268548,-0.315602,1.851727,-3.198378,-37.729021,-6.237472,0.268544,-0.315601,1.851724,-3.198372,-37.729025,-6.237473,-0.000000,-0.000000,0.000000,-0.002848,-0.000000,0.000000,-0.142060,-7.932286,-23.464834,-6.053034,2.881377,-0.001604,-0.537234,0.038547,0.751220,-1.159786,1.558755,2.248630,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477958283253,0.268546,-0.315602,1.851728,-3.198376,-37.729018,-6.237471,0.268543,-0.315601,1.851723,-3.198371,-37.729026,-6.237474,-0.000000,-0.000000,0.000000,0.002848,0.002848,0.000000,-0.155793,-7.943288,-23.492684,-6.066028,2.883534,-0.001782,-0.537234,0.038548,0.751220,-1.159505,1.558758,2.248911,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477959283817,0.268546,-0.315600,1.851727,-3.198378,-37.729020,-6.237471,0.268543,-0.315601,1.851722,-3.198370,-37.729027,-6.237475,-0.000000,0.002377,0.000000,-0.002848,-0.000000,0.000000,-0.179107,-8.385058,-23.587125,-6.077785,2.901029,-0.001602,-0.537235,0.038548,0.751220,-1.159864,1.558757,2.248551,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477960284440,0.268547,-0.315600,1.851727,-3.198377,-37.729022,-6.237471,0.268542,-0.315600,1.851720,-3.198368,-37.729029,-6.237477,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.187665,-7.938950,-23.502180,-6.062110,2.885588,-0.001679,-0.537235,0.038547,0.751219,-1.159977,1.558758,2.248439,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477961285811,0.268549,-0.315601,1.851728,-3.198379,-37.729023,-6.237472,0.268541,-0.315600,1.851719,-3.198366,-37.729030,-6.237478,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.205506,-7.935080,-23.510112,-6.062769,2.886242,-0.001671,-0.537235,0.038546,0.751219,-1.160143,1.558756,2.248274,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477962285691,0.268546,-0.315601,1.851728,-3.198376,-37.729022,-6.237471,0.268540,-0.315600,1.851718,-3.198364,-37.729032,-6.237480,-0.002377,-0.000000,0.000000,0.003797,-0.000000,0.000000,-0.029290,-7.934150,-23.534461,-6.073075,2.891200,-0.001785,-0.537235,0.038548,0.751218,-1.159914,1.558760,2.248501,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
3477963313992,0.268548,-0.315602,1.851726,-3.198377,-37.729023,-6.237472,0.268539,-0.315599,1.851716,-3.198362,-37.729033,-6.237482,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.239775,-7.926133,-23.525620,-6.064042,2.887477,-0.001658,-0.537234,0.038547,0.751220,-1.159839,1.558756,2.248578,-0.537235,0.088548,0.701220,-1.159793,1.558759,2.248622,5
