timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,ctrl_mode
45935178678581,6.378946,-0.017297,-0.019972,-6.327152,-31.451997,-6.237493,6.378947,-0.017296,-0.019971,-6.327152,-31.451996,-6.237491,-0.000000,-0.000000,-0.002377,-0.000000,-0.000000,0.000000,-0.050880,1.948482,0.878877,-0.266723,0.233308,-0.000140,0.052313,-0.182630,1.396689,5
45935179677877,6.378944,-0.017295,-0.019972,-6.327152,-31.451998,-6.237493,6.378947,-0.017296,-0.019971,-6.327152,-31.451996,-6.237491,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.025763,1.765509,0.788280,-0.245562,0.218408,-0.000130,0.052312,-0.182631,1.396689,5
45935180677854,6.378945,-0.017295,-0.019969,-6.327152,-31.451999,-6.237494,6.378947,-0.017296,-0.019971,-6.327152,-31.451996,-6.237491,-0.000000,-0.000000,0.002377,-0.000000,-0.000000,0.000000,-0.001986,1.588473,0.699529,-0.224958,0.203750,-0.000122,0.052310,-0.182631,1.396689,5
45935181708211,6.378947,-0.017296,-0.019972,-6.327151,-31.451996,-6.237492,6.378947,-0.017296,-0.019971,-6.327152,-31.451997,-6.237491,-0.000000,-0.000000,-0.002377,-0.000000,0.002848,0.000000,-0.059118,2.008177,0.901791,-0.272356,0.234845,-0.000142,0.052313,-0.182630,1.396689,5
45935182705463,6.378944,-0.017296,-0.019972,-6.327152,-31.451995,-6.237493,6.378947,-0.017296,-0.019970,-6.327152,-31.451997,-6.237491,-0.002377,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.039916,1.694480,0.767010,-0.229884,0.215809,0.000175,0.052312,-0.182631,1.396689,5
45935183705219,6.378946,-0.017295,-0.019973,-6.327152,-31.451999,-6.237494,6.378947,-0.017295,-0.019970,-6.327153,-31.451997,-6.237491,-0.000000,-0.000000,0.000000,-0.000000,-0.003797,0.000000,-0.042180,1.886403,0.840898,-0.258088,0.228403,-0.000136,0.052312,-0.182631,1.396689,5
45935184705992,6.378946,-0.017295,-0.019971,-6.327151,-31.451996,-6.237495,6.378947,-0.017295,-0.019970,-6.327153,-31.451997,-6.237491,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.003797,-0.043948,1.899317,0.843396,-0.258796,0.226371,-0.000076,0.052311,-0.182631,1.396689,5
45935185707665,6.378943,-0.017295,-0.019972,-6.327152,-31.451994,-6.237492,6.378947,-0.017295,-0.019969,-6.327153,-31.451997,-6.237491,-0.002377,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.029136,1.776578,0.801061,-0.238014,0.220749,0.000173,0.052310,-0.182631,1.396689,5
45935186707282,6.378944,-0.017297,-0.019973,-6.327152,-31.451998,-6.237492,6.378947,-0.017295,-0.019969,-6.327153,-31.451998,-6.237491,-0.000000,-0.000000,0.000000,-0.002848,-0.003797,0.000000,-0.047496,1.952483,0.866182,-0.260430,0.231891,-0.000045,0.052314,-0.182630,1.396689,5
45935187707862,6.378945,-0.017295,-0.019970,-6.327154,-31.451997,-6.237491,6.378947,-0.017295,-0.019968,-6.327153,-31.451998,-6.237491,-0.000000,-0.000000,0.002377,-0.000000,-0.000000,0.000000,-0.028616,1.788212,0.781944,-0.244690,0.215705,-0.000128,0.052310,-0.182631,1.396689,5
